ID;Bezeichner;Stückzahl;Bezeichnung
1;K1;1;XLR3
2;U13;1;TDA7297
3;CON2;1;BARREL_JACK
4;"C35,C1,C2,C10,C13,C15,C28,
C29,C30,C32,C34,C41,C4,C39,C42";15;100n
5;R35;1;220
6;R5,R3,R4,R6;4;100
7;U15;1;PCM1755
8;U5;1;L7805
9;REF**,REF**,REF**,REF**,REF**,REF**;6;MountingHole_3mm
10;REF**;1;MountingHole_3-7mm
11;C3,C5,C9,C12,C14,C18,C19,C48;8;1u
12;C6;1;22u
13;C7;1;1u
14;C8,C23,C24;3;100n
15;C11,C16,C17,C38,C40,C43;6;10u
16;C20,C21;2;220n
17;C22;1;470u
18;C25,C26,C27,C31,C33;5;2u2
19;C36,C37;2;20p
20;CON1;1;Micro_SD
21;D1;1;SM6T18A
22;D2;1;LED
23;D3,D4;2;D_Schottky
24;F1;1;FUSE
25;J1;1;JACK_TRS_3PINS
26;P1;1;CONN_01X03
27;P2;1;Taster In
28;P3,P4;2;CONN_01X04
29;Q1,Q2;2;MMBT6427LT1G
30;Q3,Q4,Q5,Q6;4;NXP PDTC114ET.215
31;R1,R2,R16,R17,R31;5;10
32;R7,R13;2;6,8k
33;R9,R11,R12;3;1k
34;"R10,R14,R15,R18,R19,R20,R21,
R36,R37,R38,R41,R42,R43,R44,R8,
R28,R29,R30,R33,R34,R32,R39,R40";23;10k
35;R22,R23,R25,R26;4;22k
36;U1,U2,U3,U9,U10;5;PESD5V0S2BT
37;U4,U7;2;SN75176
38;U6;1;LD1117S33CTR
39;U8,U11,U12;3;PESD12VS2UT.215
40;U14;1;STM32f401RBT6
41;U16;1;TLC27L2
42;Y1;1;8MHz
43;P5;1;CONN_02X05
44;P6;1;BOOT
45;P7;1;BOOT1
46;C44,C45,C46,C47;4;470p
47;R24,R27;2;47k
48;G***;1;LOGO
49;R45;1;0
